time,high
2018-08-28 07:00:00,6948.81
2018-08-28 06:00:00,6765.99
2018-08-28 05:00:00,6737.91
2018-08-28 04:00:00,6746.45
2018-08-28 03:00:00,6749.47
2018-08-28 02:00:00,6748.28
2018-08-28 01:00:00,6750.16
2018-08-28 00:00:00,6753.58
2018-08-27 23:00:00,6753.65
2018-08-27 22:00:00,6760
2018-08-27 21:00:00,6720.48
2018-08-27 20:00:00,6769.94
2018-08-27 19:00:00,6725.45
2018-08-27 18:00:00,6713.4
2018-08-27 17:00:00,6707.01
2018-08-27 16:00:00,6719.9
2018-08-27 15:00:00,6731.66
2018-08-27 14:00:00,6733.41
2018-08-27 13:00:00,6737.32
2018-08-27 12:00:00,6721.17
2018-08-27 11:00:00,6677.43
2018-08-27 10:00:00,6683.68
2018-08-27 09:00:00,6707.02
2018-08-27 08:00:00,6712.91
2018-08-27 07:00:00,6720
2018-08-27 06:00:00,6690.08
2018-08-27 05:00:00,6693.57
2018-08-27 04:00:00,6711.94
2018-08-27 03:00:00,6712.31
2018-08-27 02:00:00,6703.11
2018-08-27 01:00:00,6676.1
2018-08-27 00:00:00,6704.26
2018-08-26 23:00:00,6707.61
2018-08-26 22:00:00,6738.83
2018-08-26 21:00:00,6732
2018-08-26 20:00:00,6707.81
2018-08-26 19:00:00,6713.96
2018-08-26 18:00:00,6673.05
2018-08-26 17:00:00,6672
2018-08-26 16:00:00,6651.83
2018-08-26 15:00:00,6650
2018-08-26 14:00:00,6614.14
2018-08-26 13:00:00,6620
2018-08-26 12:00:00,6635.04
2018-08-26 11:00:00,6645.47
2018-08-26 10:00:00,6732.98
2018-08-26 09:00:00,6756.23
2018-08-26 08:00:00,6777.15
2018-08-26 07:00:00,6769.55
2018-08-26 06:00:00,6726.98
2018-08-26 05:00:00,6719.24
2018-08-26 04:00:00,6729
2018-08-26 03:00:00,6717.18
2018-08-26 02:00:00,6725.54
2018-08-26 01:00:00,6733.05
2018-08-26 00:00:00,6739.94
2018-08-25 23:00:00,6750
2018-08-25 22:00:00,6741.9
2018-08-25 21:00:00,6705
2018-08-25 20:00:00,6715.73
2018-08-25 19:00:00,6720.68
2018-08-25 18:00:00,6709.21
2018-08-25 17:00:00,6723
2018-08-25 16:00:00,6716.85
2018-08-25 15:00:00,6686.66
2018-08-25 14:00:00,6723.5
2018-08-25 13:00:00,6747.14
2018-08-25 12:00:00,6737.25
2018-08-25 11:00:00,6770.33
2018-08-25 10:00:00,6781.02
2018-08-25 09:00:00,6735.9
2018-08-25 08:00:00,6746
2018-08-25 07:00:00,6719
2018-08-25 06:00:00,6717.73
2018-08-25 05:00:00,6698.82
2018-08-25 04:00:00,6637.3
2018-08-25 03:00:00,6637.1
2018-08-25 02:00:00,6643.33
2018-08-25 01:00:00,6610.88
2018-08-25 00:00:00,6555
2018-08-24 23:00:00,6512.59
2018-08-24 22:00:00,6547.53
2018-08-24 21:00:00,6556
2018-08-24 20:00:00,6553.01
2018-08-24 19:00:00,6571.83
2018-08-24 18:00:00,6555
2018-08-24 17:00:00,6540
2018-08-24 16:00:00,6533.66
2018-08-24 15:00:00,6550.9
2018-08-24 14:00:00,6526.46
2018-08-24 13:00:00,6522.4
2018-08-24 12:00:00,6508.03
2018-08-24 11:00:00,6513.48
2018-08-24 10:00:00,6525.03
2018-08-24 09:00:00,6498.8
2018-08-24 08:00:00,6536.45
2018-08-24 07:00:00,6531.98
2018-08-24 06:00:00,6559.99
2018-08-24 05:00:00,6480
2018-08-24 04:00:00,6421.75
2018-08-24 03:00:00,6449.98
2018-08-24 02:00:00,6463.66
2018-08-24 01:00:00,6475.6
2018-08-24 00:00:00,6483.9
2018-08-23 23:00:00,6451.24
2018-08-23 22:00:00,6480
2018-08-23 21:00:00,6439.51
2018-08-23 20:00:00,6443
2018-08-23 19:00:00,6429.35
2018-08-23 18:00:00,6432.98
2018-08-23 17:00:00,6434.68
2018-08-23 16:00:00,6444
2018-08-23 15:00:00,6443.95
2018-08-23 14:00:00,6441.5
2018-08-23 13:00:00,6448
2018-08-23 12:00:00,6408.19
2018-08-23 11:00:00,6420.34
2018-08-23 10:00:00,6440.5
2018-08-23 09:00:00,6438
2018-08-23 08:00:00,6432.94
2018-08-23 07:00:00,6401.77
2018-08-23 06:00:00,6463.37
2018-08-23 05:00:00,6383.11
2018-08-23 04:00:00,6436.29
2018-08-23 03:00:00,6440
2018-08-23 02:00:00,6449.87
2018-08-23 01:00:00,6452
2018-08-23 00:00:00,6486.26
2018-08-22 23:00:00,6660
2018-08-22 22:00:00,6665.76
2018-08-22 21:00:00,6675.35
2018-08-22 20:00:00,6686.88
2018-08-22 19:00:00,6671.9
2018-08-22 18:00:00,6676.67
2018-08-22 17:00:00,6699.69
2018-08-22 16:00:00,6686.04
2018-08-22 15:00:00,6693.92
2018-08-22 14:00:00,6693.63
2018-08-22 13:00:00,6720
2018-08-22 12:00:00,6750
2018-08-22 11:00:00,6731.6
2018-08-22 10:00:00,6868.86
2018-08-22 09:00:00,6888.88
2018-08-22 08:00:00,6481.89
2018-08-22 07:00:00,6490.01
2018-08-22 06:00:00,6472.19
2018-08-22 05:00:00,6495
2018-08-22 04:00:00,6454.43
2018-08-22 03:00:00,6456.26
2018-08-22 02:00:00,6449
2018-08-22 01:00:00,6455.19
2018-08-22 00:00:00,6455.19
2018-08-21 23:00:00,6420.26
2018-08-21 22:00:00,6424.43
2018-08-21 21:00:00,6432.37
2018-08-21 20:00:00,6439.81
2018-08-21 19:00:00,6451.28
2018-08-21 18:00:00,6452.43
2018-08-21 17:00:00,6484.42
2018-08-21 16:00:00,6478.23
2018-08-21 15:00:00,6444.03
2018-08-21 14:00:00,6395
2018-08-21 13:00:00,6323.43
2018-08-21 12:00:00,6309.62
2018-08-21 11:00:00,6318.43
2018-08-21 10:00:00,6318.53
2018-08-21 09:00:00,6338.07
2018-08-21 08:00:00,6315.61
2018-08-21 07:00:00,6299.44
2018-08-21 06:00:00,6424.53
2018-08-21 05:00:00,6457.67
2018-08-21 04:00:00,6466.18
2018-08-21 03:00:00,6475.42
2018-08-21 02:00:00,6476.93
2018-08-21 01:00:00,6484.89
2018-08-21 00:00:00,6519
2018-08-20 23:00:00,6465
2018-08-20 22:00:00,6460.67
2018-08-20 21:00:00,6450
2018-08-20 20:00:00,6477.6
2018-08-20 19:00:00,6454.99
2018-08-20 18:00:00,6419.99
2018-08-20 17:00:00,6438.95
2018-08-20 16:00:00,6459.9
2018-08-20 15:00:00,6460.1
2018-08-20 14:00:00,6476.49
2018-08-20 13:00:00,6468.39
2018-08-20 12:00:00,6485
2018-08-20 11:00:00,6497.77
2018-08-20 10:00:00,6523.66
2018-08-20 09:00:00,6518
2018-08-20 08:00:00,6510.27
2018-08-20 07:00:00,6518.37
2018-08-20 06:00:00,6530
2018-08-20 05:00:00,6540
2018-08-20 04:00:00,6526
2018-08-20 03:00:00,6385.2
2018-08-20 02:00:00,6375.43
2018-08-20 01:00:00,6394.82
2018-08-20 00:00:00,6412.58
2018-08-19 23:00:00,6432.89
2018-08-19 22:00:00,6470.05
2018-08-19 21:00:00,6461
2018-08-19 20:00:00,6432.08
2018-08-19 19:00:00,6449.39
2018-08-19 18:00:00,6382
2018-08-19 17:00:00,6390
2018-08-19 16:00:00,6372.64
2018-08-19 15:00:00,6376.49
2018-08-19 14:00:00,6399.99
2018-08-19 13:00:00,6394.89
2018-08-19 12:00:00,6370
2018-08-19 11:00:00,6359.9
2018-08-19 10:00:00,6368.35
2018-08-19 09:00:00,6388.66
2018-08-19 08:00:00,6391.19
2018-08-19 07:00:00,6424.89
2018-08-19 06:00:00,6432.89
2018-08-19 05:00:00,6398
2018-08-19 04:00:00,6368
2018-08-19 03:00:00,6370.89
2018-08-19 02:00:00,6374.4
2018-08-19 01:00:00,6347.5
2018-08-19 00:00:00,6358.77
2018-08-18 23:00:00,6360
2018-08-18 22:00:00,6386.6
2018-08-18 21:00:00,6475.2
2018-08-18 20:00:00,6515
2018-08-18 19:00:00,6528
2018-08-18 18:00:00,6514.64
2018-08-18 17:00:00,6512
2018-08-18 16:00:00,6500
2018-08-18 15:00:00,6490.89
2018-08-18 14:00:00,6527.5
2018-08-18 13:00:00,6522.34
2018-08-18 12:00:00,6543.43
2018-08-18 11:00:00,6526.89
2018-08-18 10:00:00,6555.82
2018-08-18 09:00:00,6617
2018-08-18 08:00:00,6611.5
2018-08-18 07:00:00,6582.89
2018-08-18 06:00:00,6576
2018-08-18 05:00:00,6522.3
2018-08-18 04:00:00,6493.34
2018-08-18 03:00:00,6512.55
2018-08-18 02:00:00,6516.89
2018-08-18 01:00:00,6556.45
2018-08-18 00:00:00,6538
2018-08-17 23:00:00,6509
2018-08-17 22:00:00,6490
2018-08-17 21:00:00,6518.89
2018-08-17 20:00:00,6488.43
2018-08-17 19:00:00,6479
2018-08-17 18:00:00,6548
2018-08-17 17:00:00,6500.17
2018-08-17 16:00:00,6492.27
2018-08-17 15:00:00,6515.5
2018-08-17 14:00:00,6496.02
2018-08-17 13:00:00,6485
2018-08-17 12:00:00,6518.43
2018-08-17 11:00:00,6437.5
2018-08-17 10:00:00,6443.58
2018-08-17 09:00:00,6375
2018-08-17 08:00:00,6350
2018-08-17 07:00:00,6321.17
2018-08-17 06:00:00,6303.22
2018-08-17 05:00:00,6299.27
2018-08-17 04:00:00,6415.26
2018-08-17 03:00:00,6435.95
2018-08-17 02:00:00,6419
2018-08-17 01:00:00,6459.98
